ale;aber
bardzo;sehr
basen (budynek);das Schwimmbad
brać;nehmen
być;sein
całkiem, zupełnie;ganz
coraz;immer
czasami;manchmal
cześć (powitanie);hallo
cześć (pożegnanie);tschüss
czytać;lesen
dawać;geben
długo;lange
do (osoby, budowli);zu
dobrze;gut
dużo;viel
dziecko;das Kind
fascynować;faszinieren
głowa;der Kopf
hotel;das Hotel
ja;ich
jeszcze;noch
kobieta;die Frau
ładnie;schön
mało;wenig
mężczyzna;der Mann
mieć;haben
my;wir
na co;wofür
należeć;gehören
naprzeciwko;gegenüber
nawet;sogar
niedawno;von kurzem
nuty;Note
od (czas);seit
od, z, o;von
okulary;Brille
on;er
ona;sie
oni, one;sie
ono;es
po, do, według;nach
podobać się;gefallen
pomagać;helfen
poprawnie;richtig
porządkować;putzen
poznawać;kennenlernen
pozwiązany;verbunden
przeliterować;Buchstabieren
robić;machen
słowo;Wort
sprzątać;aufräumen
szybko;schnell
tak;so
tam;dort,dorthin
tutaj;hier
ty;du
u, przy, koło;bei
uczyć się;lernen
w ogóle;überhaupt
wkrótce;bald
wszędzie;überall
wy;ihr
z czymś, z kimś;mit
z, ze środka;aus
zagranica;Ausland
zawód;der Beruf
zbyt;zu
